name	mean_price_str	address	lat	lon	mean_price_num	type
Скоро Весна, ресторан	Средний чек 1500 р	Санкт-Петербург, Белинского, 5	59.938133	30.3456991	1500	restaurant
Восточный, ресторан	Средний чек 600 р	Санкт-Петербург, Марата, 60	59.9313381	30.3550117	600	restaurant
Vox, ресторан	Средний чек 2250 р	Санкт-Петербург, Соляной переулок, 16	59.94283235	30.3418895909278	2250	restaurant
Васаби-Розарио, сеть ресторанов	Средний чек 850 р	Санкт-Петербург, Энгельса проспект, 139	60.0499877	30.3315161	850	restaurant
Вкусная Империя, ресторан-кафе	Средний чек 700 р	Санкт-Петербург, Тореза проспект, 36	60.0002567	30.363795	700	restaurant
Водопад, ресторан-кафе	Средний чек 700 р	Санкт-Петербург, Тихорецкий проспект, 2 к2	60.0184649	30.3672967	700	restaurant
Volga-Volga, ресторан	Средний чек 3500 р	Санкт-Петербург, Петровская набережная, 8в	60.0891547	29.966666	3500	restaurant
Вилка, ресторан	Средний чек 1000 р	Санкт-Петербург, Комендантский проспект, 44а	60.0626577	30.1950729	1000	restaurant
Гимназия, ресторан	Средний чек 2000 р	Санкт-Петербург, Конногвардейский бульвар, 21	59.9327845	30.2953502	2000	restaurant
Graf-in, бар-ресторан	Средний чек 1700 р	Санкт-Петербург, Конногвардейский бульвар, 4	59.9325918	30.2975824	1700	restaurant
Golden Mask, арт-кафе	Средний чек 700 р	Санкт-Петербург, Малый проспект В.О., 23	59.9432353	30.2611092	700	restaurant
Государь, ресторан	Средний чек 1000 р	Санкт-Петербург, Большой Сампсониевский проспект, 32	59.966885	30.3422294	1000	restaurant
Гастроном, ресторан	Средний чек 1200 р	Санкт-Петербург, Набережная реки Мойки, 1	59.9276918	30.2944376	1200	restaurant
Гольфстрим, ресторан	Средний чек 1500 р	Санкт-Петербург, Приморское шоссе, 484а	60.1130214	29.9696799	1500	restaurant
Du Nord 1834, ресторан-кондитерская	Средний чек 800 р	Санкт-Петербург, Лиговский проспект, 41/83	59.930516	30.3599481	800	restaurant
Диана, ресторан	Средний чек 1000 р	Санкт-Петербург, Садовая, 56	59.92614	30.3159073	1000	restaurant
Daniel, ресторан	Средний чек 3000 р	Санкт-Петербург, Средняя, 2	59.6935064	30.3867249	3000	restaurant
Дивный сад, китайский ресторан	Средний чек 500 р	Санкт-Петербург, Гатчинская, 16	59.9617259	30.2998589	500	restaurant
Дружба, бар-ресторан	Средний чек 800 р	Санкт-Петербург, Звёздная, 2	59.8332373	30.3490644	800	restaurant
Драго, ресторан	Средний чек 1500 р	Санкт-Петербург, Приморский проспект, 15	59.9844521	30.2935508	1500	restaurant
Dolce Vita, итальянский ресторан	Средний чек 700 р	Санкт-Петербург, Тазаева, 9	59.74199775	30.6157721471031	700	restaurant
Долина Счастья, кафе-ресторан	Средний чек 800 р	Санкт-Петербург, Коммуны, 64	59.9631816	30.4870008	800	restaurant
Драмы и Комедии, ресторан	Средний чек 750 р	Санкт-Петербург, Новолитовская, 15а	59.9809071	30.3557920930189	750	restaurant
Дитай, семейный китайский ресторан	Средний чек 1000 р	Санкт-Петербург, Лесной проспект, 4	59.9618364	30.3521501	1000	restaurant
ДАЧА, банкетный ресторан	Средний чек 1000 р	Санкт-Петербург, Торжковская, 3	59.98682105	30.3077670220588	1000	restaurant
DoZari, караоке-ресторан	Средний чек 1500 р	Санкт-Петербург, Добролюбова проспект, 14а	59.947305	30.3019078	1500	restaurant
Дом Актера, кафе-ресторан	Средний чек 500 р	Санкт-Петербург, Невский проспект, 86	59.9325657	30.3506657	500	restaurant
Европа, ресторан	Средний чек 4500 р	Санкт-Петербург, Михайловская, 1	59.91394555	29.7662867745323	4500	restaurant
Емеля, сеть ресторанов	Средний чек 800 р	Санкт-Петербург, Марата, 86	59.9313381	30.3550117	800	restaurant
Емельян, ресторан	Средний чек 900 р	Санкт-Петербург, Чайковского, 83	59.946208	30.3670106	900	restaurant
Европа, ресторан	Средний чек 4500 р	Санкт-Петербург, Михайловская, 1	59.91394555	29.7662867745323	4500	restaurant
White Night Music Joint, ресторан	Средний чек 900 р	Санкт-Петербург, Набережная реки Фонтанки, 59	59.9276346	30.33213	900	restaurant
Залив, бар-ресторан	Средний чек 1500 р	Санкт-Петербург, Приморское шоссе, 422Б	60.1634867	29.8607276	1500	restaurant
Idiot, ресторан	Средний чек 1500 р	Санкт-Петербург, Набережная реки Мойки, 82	59.9292436	30.3037329	1500	restaurant
Маки, рестобар	Средний чек 900 р	Санкт-Петербург, Серпуховская, 7	59.9164493	30.321831	900	restaurant
Империя, ресторан	Средний чек 1200 р	Санкт-Петербург, Арсенальная набережная, 13 к1	59.9528498	30.3630475	1200	restaurant
Истерия, клуб-ресторан	Средний чек 1250 р	Санкт-Петербург, Сикейроса, 10 к4	60.0351524	30.3294657	1250	restaurant
Istanbul, ресторан	Средний чек 1000 р	Санкт-Петербург, Пискарёвский проспект, 25 к2	59.963121	30.4086076	1000	restaurant
Индокитай, ресторан вьетнамской кухни	Средний чек 500 р	Санкт-Петербург, Энгельса проспект, 28	60.0499877	30.3315161	500	restaurant
Империя, ресторан	Средний чек 1200 р	Санкт-Петербург, Арсенальная набережная, 13 к1	59.9528498	30.3630475	1200	restaurant
Караван-Сарай, ресторан	Средний чек 1000 р	Санкт-Петербург, Некрасова, 1/38	59.9384586	30.3507857	1000	restaurant
Караван, ресторан	Средний чек 1450 р	Санкт-Петербург, Набережная реки Фонтанки, 123	59.9208251	30.3099576437996	1450	restaurant
Корчма Сало, ресторан	Средний чек 1300 р	Санкт-Петербург, Литейный проспект, 36	59.939503	30.34868	1300	restaurant
Кавказ-Бар, ресторан	Средний чек 1500 р	Санкт-Петербург, Караванная, 18	59.937764	30.3416544	1500	restaurant
Claret, винный ресторан	Средний чек 1200 р	Санкт-Петербург, Марата, 11	59.9313381	30.3550117	1200	restaurant
КЭТ, ресторан	Средний чек 1000 р	Санкт-Петербург, Караванная, 24	59.9342952	30.3413554	1000	restaurant
Корчма, ресторан	Средний чек 1000 р	Санкт-Петербург, Энгельса проспект, 83	60.0499877	30.3315161	1000	restaurant
Квартира, ресторан	Средний чек 800 р	Санкт-Петербург, Лиговский проспект, 123а	59.9224571	30.3554782	800	restaurant
Карл и Фридрих, пивной ресторан	Средний чек 1500 р	Санкт-Петербург, Южная дорога, 15	59.9699562	30.2325688974515	1500	restaurant
Два Му, ресторан	Средний чек 1000 р	Санкт-Петербург, Садовая, 94	59.9179532	30.2911804242859	1000	restaurant
Kriek, пивной ресторан	Средний чек 1000 р	Санкт-Петербург, Невский проспект, 22	59.9361227	30.3226518	1000	restaurant
Casa del Мясо, ресторан	Средний чек 1000 р	Санкт-Петербург, Биржевой проезд, 6	59.9437969	30.3030583	1000	restaurant
Capuletti, итальянский ресторан	Средний чек 1500 р	Санкт-Петербург, Большой проспект П.С., 74	59.9634445	30.3067681201023	1500	restaurant
Кон-Коронель, кафе-ресторан	Средний чек 600 р	Санкт-Петербург, Шкапина, 10	59.9074347	30.2956417	600	restaurant
Кавказ, ресторан	Средний чек 1500 р	Санкт-Петербург, Стахановцев, 5	59.9282871	30.4064992	1500	restaurant
Карелия, ресторан	Средний чек 1000 р	Санкт-Петербург, Маршала Тухачевского, 27/2	59.9726457	30.4172117	1000	restaurant
Корчма, ресторан	Средний чек 1000 р	Санкт-Петербург, Энгельса проспект, 83	60.0499877	30.3315161	1000	restaurant
Колесо, ресторан	Средний чек 1200 р	Санкт-Петербург, Вознесенский проспект, 2	59.9290872	30.3080573	1200	restaurant
Кувшин, ресторан	Средний чек 1000 р	Санкт-Петербург, Средний проспект В.О., 56	59.9401146	30.2689194972281	1000	restaurant
Casablanca, загородный комплекс	Средний чек 2000 р	Санкт-Петербург, Приморское шоссе, 471	60.114958	29.9684527	2000	restaurant
Кабачок, ресторан-бар	Средний чек 900 р	Санкт-Петербург, Просвещения проспект, 99 к1	60.0531923	30.3324569	900	restaurant
Литературное кафе, ресторан	Средний чек 2000 р	Санкт-Петербург, Невский проспект, 18	59.9364107	30.3190621	2000	restaurant
